ProcessId 	Priority 	ArrivalTime 	BurstTime
1 8 14 49
2 61 51 61
3 86 68 83
4 33 32 90
5 65 60 29
6 90 13 78
7 77 99 44
8 63 89 25
9 26 49 74
10 95 70 32
11 39 35 57
12 70 78 86
13 98 26 45
14 61 38 99
15 80 38 92
16 14 73 89
17 16 85 90
18 49 30 34
19 82 45 53
20 30 26 62
21 7 27 29
22 78 21 35
23 88 20 44
24 11 71 24
25 47 81 44
26 31 82 99
27 50 29 64
28 42 72 56
29 71 51 70
30 93 69 100
31 77 58 84
32 82 7 87
33 70 2 94
34 29 13 94
35 51 98 85
36 76 65 99
37 43 15 76
38 34 14 99
39 32 92 69
40 77 50 47
41 35 23 91
