ProcessId 	Priority 	ArrivalTime 	BurstTime
1 43 42 84
2 49 40 24
3 75 62 29
4 74 59 63
5 72 8 73
6 73 44 26
7 31 53 68
8 47 100 88
9 87 43 30
10 81 23 43
11 46 30 24
12 11 40 92
13 7 88 96
14 74 31 36
15 34 18 57
16 89 82 94
17 32 11 86
18 70 12 99
19 96 59 41
20 86 81 59
21 57 76 47
22 23 30 46
23 4 5 26
24 9 49 59
25 54 82 40
26 37 50 78
27 37 72 28
28 6 82 48
29 65 16 47
30 97 87 75
31 60 85 53
32 62 71 66
33 77 37 85
34 20 79 98
35 87 90 92
36 93 52 48
37 68 70 20
38 57 64 75
39 66 96 44
40 39 67 86
41 80 96 29
42 78 64 64
43 54 37 39
44 78 43 24
45 52 45 77
46 51 59 73
47 63 74 100
48 54 74 99
49 76 9 66
50 43 31 61
