ProcessId 	Priority 	ArrivalTime 	BurstTime
1 81 48 72
2 72 23 58
3 27 5 98
4 39 5 67
5 85 8 57
6 86 21 69
7 28 82 57
8 50 61 92
9 68 8 90
10 1 25 60
11 15 71 86
12 88 19 96
13 33 6 75
14 47 44 31
15 72 61 63
16 28 55 35
17 79 16 45
18 81 24 49
19 87 95 87
20 98 71 97
21 85 8 44
22 4 26 94
23 73 19 67
24 77 17 26
25 23 75 81
26 17 16 28
27 98 92 80
28 63 61 28
29 69 37 73
30 77 18 85
31 65 65 93
32 52 30 46
33 4 2 99
34 4 13 59
35 24 95 50
36 79 38 82
37 81 56 90
38 8 86 83
39 2 29 93
40 96 82 24
41 72 78 88
42 78 45 29
43 38 38 33
44 19 73 64
45 39 48 62
46 96 75 46
